ISO3,Year,Promedio_Pasajeros_Internacionales,Promedio_Pasajeros_Nacionales
PHL,2016,,
PHL,2017,,
POL,2010,1453.3553333333332,78.57091666666666
POL,2011,1626.348,93.29133333333334
POL,2012,1668.4406666666666,148.28975
POL,2013,1838.0789166666666,101.46141666666666
POL,2014,2019.6868333333332,123.18166666666667
POL,2015,2276.6490833333332,132.30416666666667
POL,2016,2536.0504166666665,152.84475
POL,2017,2956.04825,184.34074999999999
POL,2018,3487.15725,159.13725000000002
PRT,2010,1893.43825,251.18675
PRT,2011,2056.6944166666667,241.6145
PRT,2012,2114.547916666667,234.30658333333335
PRT,2013,2238.0225,236.48966666666664
PRT,2014,2466.5308333333332,246.85424999999998
PRT,2015,2695.2869166666665,305.19758333333334
PRT,2016,3038.18575,372.65125000000006
PRT,2017,3559.82675,412.92800000000005
PRT,2018,3820.704,430.8358333333333
PRY,2010,,
PRY,2011,,
PRY,2012,,
PRY,2013,,
PRY,2014,,
PRY,2015,,
PRY,2016,,
PRY,2017,,
ROU,2010,675.2824999999999,62.12991666666667
ROU,2011,745.9430833333332,61.34491666666667
ROU,2012,751.4925,54.693000000000005
ROU,2013,787.5875833333333,47.15683333333334
ROU,2014,867.1238333333334,41.833416666666665
ROU,2015,1006.2132499999999,42.17933333333333
ROU,2016,1188.1965833333334,74.61333333333333
ROU,2017,1380.44675,114.11775
ROU,2018,1491.4625833333332,118.32558333333334
RUS,2010,,
RUS,2011,,
RUS,2012,,
RUS,2013,,
RUS,2014,,
RUS,2015,,
RUS,2016,,
RUS,2017,,
SGP,2014,,
SGP,2015,,
SGP,2016,,
SGP,2017,,
SLV,2010,,
SLV,2011,,
SLV,2012,,
SLV,2013,,
SLV,2014,,
SLV,2015,,
SLV,2016,,
SLV,2017,,
SRB,2010,,
SRB,2011,,
SRB,2012,,
SRB,2013,,
SRB,2014,,
SRB,2015,,
SRB,2016,,
SRB,2017,,
SVK,2010,153.29908333333333,3.52125
SVK,2011,147.83775,2.8445
SVK,2012,127.79416666666667,2.4722500000000003
SVK,2013,128.11925,1.6431666666666667
SVK,2014,137.42499999999998,1.8491666666666668
SVK,2015,160.17249999999999,1.7988333333333333
SVK,2016,177.78008333333332,2.075
SVK,2017,198.20408333333333,2.0168333333333335
SVK,2018,231.11749999999998,1.7236666666666667
SVN,2010,115.18816666666667,0.053899999999999997
SVN,2011,113.22275,0.06743584905660378
SVN,2012,97.32308333333333,0.08405660377358491
SVN,2013,105.4805,0.09900000000000002
SVN,2014,108.92733333333332,0.1139433962264151
SVN,2015,119.65591666666667,0.12826415094339624
SVN,2016,117.01266666666668,0.132
SVN,2017,140.17775,0.132
SVN,2018,150.88058333333333,0.132
SWE,2010,1710.531,510.03266666666667
SWE,2011,1900.2001666666667,577.4870833333333
SWE,2012,1944.3959166666666,584.8415
SWE,2013,2031.6308333333334,588.6379166666667
SWE,2014,2117.525166666667,612.9784166666667
SWE,2015,2213.7009166666667,620.571
SWE,2016,2354.246,641.8004999999999
SWE,2017,2549.7369166666667,654.9475
SWE,2018,2608.7564166666666,636.6682500000001
THA,2010,2985.8619166666667,1799.56175
THA,2011,3509.233833333333,2015.8216666666667
THA,2012,3693.1590833333335,2266.9495833333335
THA,2013,4522.048083333333,2655.865416666667
THA,2014,4266.2908333333335,3031.4119166666665
THA,2015,5111.421666666666,3787.737833333333
THA,2016,5672.225083333334,4321.441416666667
THA,2017,6044.995,4721.621749999999
THA,2018,6707.460916666667,4919.07975
TUR,2010,,
TUR,2011,,
TUR,2012,,
TUR,2013,,
TUR,2014,,
TUR,2015,,
TUR,2016,,
TUR,2017,,
TWN,2014,,
TWN,2015,,
TWN,2016,,
TWN,2017,,
UKR,2010,,
UKR,2011,,
UKR,2012,,
UKR,2013,,
UKR,2014,,
UKR,2015,,
UKR,2016,,
UKR,2017,,
URY,2010,,
URY,2011,,
URY,2012,,
USA,2010,7825.5,52720.0
USA,2011,7984.75,53464.583333333336
USA,2012,8139.75,53761.75
USA,2013,8357.333333333334,54020.75
USA,2014,8552.666666666666,55457.333333333336
USA,2015,8760.416666666666,58204.5
USA,2016,8875.75,60187.75
USA,2017,9139.25,62018.0
USA,2018,9431.75,65026.083333333336
ZAF,2014,,
ZAF,2015,,
ZAF,2016,,
ZAF,2017,,
